backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
openai,run2,Full,teastore,1.000000,0.701556,0.824605,0.851064,0.666667,0.842105,0.782609,0.000000
openai,run2,EntityOnly,teastore,1.000000,0.570014,0.726126,0.744186,0.285714,0.607595,0.608696,0.000000
openai,run2,CorefOnly,teastore,1.000000,0.131542,0.232500,0.258065,0.000000,0.000000,0.173913,0.000000
openai,run2,Full,teammates,0.995027,0.741262,0.849600,0.603774,0.333333,0.602740,0.434783,0.005769
openai,run2,EntityOnly,teammates,1.000000,0.694208,0.819507,0.549020,0.333333,0.555188,0.380435,0.000000
openai,run2,CorefOnly,teammates,0.977358,0.159936,0.274889,0.195122,0.000000,0.000000,0.119565,0.020979
openai,run2,Full,bigbluebutton,0.861666,0.818836,0.839705,0.867133,0.666667,0.841262,0.822222,0.137572
openai,run2,EntityOnly,bigbluebutton,0.868382,0.772400,0.817584,0.808824,0.666667,0.807982,0.733333,0.125332
openai,run2,CorefOnly,bigbluebutton,0.853881,0.122302,0.213959,0.282609,0.000000,0.000000,0.155556,0.206207
openai,run2,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run2,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run2,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,run3,Full,mediastore,1.000000,0.474576,0.643678,0.808511,0.000000,0.000000,0.720000,0.000000
openai,run3,EntityOnly,mediastore,1.000000,0.423729,0.595238,0.755556,0.000000,0.000000,0.640000,0.000000
openai,run3,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.133333,0.000000,0.000000,0.080000,0.000000
openai,run3,Full,teastore,1.000000,0.743989,0.853204,0.875000,0.666667,0.872727,0.826087,0.000000
openai,run3,EntityOnly,teastore,1.000000,0.612447,0.759649,0.772727,0.500000,0.716418,0.652174,0.000000
openai,run3,CorefOnly,teastore,1.000000,0.131542,0.232500,0.258065,0.000000,0.000000,0.173913,0.000000
openai,run3,Full,teammates,1.000000,0.737681,0.849041,0.594937,0.333333,0.598523,0.434783,0.000000
openai,run3,EntityOnly,teammates,1.000000,0.694208,0.819507,0.549020,0.333333,0.555188,0.380435,0.000000
openai,run3,CorefOnly,teammates,1.000000,0.163641,0.281257,0.195122,0.000000,0.000000,0.130435,0.000000
openai,run3,Full,bigbluebutton,0.933025,0.792675,0.857143,0.846715,0.666667,0.833333,0.777778,0.099047
openai,run3,EntityOnly,bigbluebutton,0.949707,0.741007,0.832476,0.765625,0.571429,0.773196,0.666667,0.075376
openai,run3,CorefOnly,bigbluebutton,0.748031,0.062132,0.114734,0.244444,0.000000,0.000000,0.133333,0.240575
openai,run3,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run3,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run3,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,average,CorefOnly,bigbluebutton,0.816637,0.107696,0.189010,0.287965,0.000000,0.000000,0.162963,0.211597
openai,average,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,average,CorefOnly,mediastore,1.000000,0.050847,0.096774,0.133333,0.000000,0.000000,0.080000,0.000000
openai,average,CorefOnly,teammates,0.981132,0.160553,0.275950,0.195122,0.000000,0.000000,0.126812,0.028179
openai,average,CorefOnly,teastore,1.000000,0.131542,0.232500,0.258065,0.000000,0.000000,0.173913,0.000000
openai,average,EntityOnly,bigbluebutton,0.914304,0.761936,0.830609,0.798448,0.634921,0.799135,0.711111,0.102731
openai,average,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,average,EntityOnly,mediastore,1.000000,0.508475,0.666186,0.797037,0.000000,0.000000,0.693333,0.000000
openai,average,EntityOnly,teammates,1.000000,0.691079,0.817315,0.542614,0.333333,0.550504,0.373189,0.000000
openai,average,EntityOnly,teastore,1.000000,0.598303,0.748475,0.763213,0.428571,0.680144,0.637681,0.000000
openai,average,Full,bigbluebutton,0.901918,0.811860,0.854078,0.869651,0.666667,0.843913,0.814815,0.120560
openai,average,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,average,Full,mediastore,1.000000,0.559322,0.710164,0.846700,0.000000,0.000000,0.773333,0.000000
openai,average,Full,teammates,0.995831,0.737022,0.847095,0.597883,0.333333,0.599929,0.434783,0.008279
openai,average,Full,teastore,1.000000,0.729845,0.843671,0.867021,0.666667,0.862520,0.811594,0.000000
