project,sentence_num,label,in_gold,in_result,swattr_status,gold_elements,result_elements,text
mediastore,23,arch,True,False,FN_only,DB,,"The Database component represents an actual database (e.g., MySQL)."
mediastore,24,arch,True,False,FN_only,DB,,It stores user information and meta-data of audio files such as the name and the genre.
mediastore,25,arch,True,False,FN_only,MediaAccess;DB,,"After the user calls the page to list all available audio files, AudioAccess creates a query that is sent to the Database component."
mediastore,26,arch,True,True,has_TP,MediaAccess,MediaAccess,"When a user uploads an audio file, the MediaAccess component stores it at the predefined location."
mediastore,27,arch,True,True,has_TP,MediaAccess,MediaAccess,The MediaAccess component encapsulates database access for meta-data of audio files.
mediastore,28,arch,True,False,FN_only,MediaAccess,,"Furthermore, it fetches a list of all available audio files."
mediastore,29,arch,True,True,has_TP,UserDBAdapter,UserDBAdapter,"By contrast, the UserDBAdapter component provides all functions required in order to encapsulate database access for the user data."
mediastore,30,arch,True,True,has_TP,UserDBAdapter,UserDBAdapter,The UserDBAdapter component creates a query based on the user's request.
mediastore,31,arch,True,False,FN_only,DB,,The Database component then executes the actual query for files.
mediastore,32,arch,True,False,FN_only,DB,,All salted hashes of passwords are also stored in the Database component.
mediastore,33,arch,True,False,FN_only,FileStorage;DB,,"By contrast, all audio files are stored in a specific location (e.g., a dedicated file server or a local disk) to decouple the DataStorage from the database."
mediastore,34,arch,True,True,has_TP,MediaAccess;DB,MediaAccess,"When a user requests files to download, the MediaAccess component fetches the associated meta-data from the Database."
mediastore,35,arch,True,False,FN_only,FileStorage,,"Afterwards, based on the user request and the corresponding meta-data, the file will be retrieved from the DataStorage."
mediastore,36,arch,True,False,FN_only,FileStorage,,"When a user uploads a file, it will be stored in the DataStorage without any change."
mediastore,37,other,False,True,FP_only,,Reencoding,"However, a download can cause re-encoding of the audio file."
teastore,1,arch,True,True,has_TP,Registry,Registry,The TeaStore consists of 5 replicatable services and a single Registry instance.
teastore,2,arch,True,True,has_TP,ImageProvider;WebUI,ImageProvider;WebUI,The WebUI service retrieves images from the Image Provider.
teastore,3,arch,True,True,has_TP,Auth,Auth,Users are authenticated by the Auth service.
teastore,4,arch,True,True,has_TP,Persistence;Recommender,Persistence;Recommender,Data is retrieved from the PersistenceProvider and product recommendations from the Recommender service.
teastore,5,arch,True,True,has_TP,WebUI,WebUI,The WebUI provides the TeaStore front-end using Servlets in combination with JSP files.
teastore,6,arch,True,False,FN_only,WebUI,,It contains logic to save and retireve values from cookies.
teastore,7,arch,True,True,has_TP,ImageProvider;WebUI,ImageProvider;WebUI,"Images (with few exceptions) are not provides by the WebUi, but are retrieved from the Image Provider service instead."
teastore,8,arch,True,False,FN_only,WebUI,,The UI provides a status page at link indicating the current state of the TeaStore.
teastore,9,impl,False,False,TN,,,The status view lists the instance count and hosts for all registered service instances.
teastore,10,arch,True,True,has_TP,ImageProvider;WebUI,ImageProvider;WebUI,The Image Provider delivers images to the WebUI as base64 encoded strings to embed them in the final HTML.
teastore,11,arch,True,False,FN_only,ImageProvider,,It matches the provided product ID or UI name (the filename for images not representing a product and therefore without product ID) and the image size to a unique image identifier.
teastore,12,arch,True,True,has_TP,ImageProvider,ImageProvider,"If the product ID or UI name is not available to the Image Provider, a standard ""not found"" image will be delivered in the correct size."
teastore,13,impl,False,False,TN,,,"If the product ID or UI name is found but not in the requested size, the largest image will be loaded and scaled."
teastore,14,impl,False,False,TN,,,The scaled image is stored for later use.
teastore,15,impl,False,False,TN,,,"If the product ID or UI name and size is found, the image will be loaded and delivered."
teastore,16,impl,False,False,TN,,,"To speed up image delivery, an in-memory cache with Least Frequently Used (LFU) replacemenent strategy is in place."
teastore,17,impl,False,False,TN,,,"Before loading an image from the physical drive, a cache lookup will be performed and if the image is present, delivered directly from cache or from the physical drive otherwise."
teastore,18,arch,True,True,has_TP,Auth,Auth,The Auth service handles user and session authentication.
teastore,19,impl,False,False,TN,,,Passwords are hashed using BCrypt.
teastore,20,impl,False,False,TN,,,"To validate sessions, the SessionBlob is salted and hashed using SHA512 and stored in a cookie."
teastore,21,impl,False,False,TN,,,"When a SessionBlob is received, the cookie content is re-salted and checked against the hash to check for session tampering."
teastore,22,arch,True,True,has_TP,Persistence,Persistence,The Persistence service provides access to the data persisted in the relational database back-end.
teastore,23,impl,True,False,FN_only,Persistence,,It maps the relational entities to the JSON entity objects passed between services using the EclipseLink JPA ORM mapper.
teastore,24,arch,True,False,FN_only,Persistence,,"It features endpoints for general CRUD-Operations (Create, Read, Update, Delete) for the persistent entities."
teastore,25,impl,True,True,has_TP,Persistence,Persistence,The persistence provider uses a second level entity cache provided by the JPA implementation.
teastore,26,arch,True,False,FN_only,Persistence,,"As such, it also acts as a caching layer."
teastore,27,arch,True,True,has_TP,Recommender,Recommender,The Recommender is used to generate individual product recommendations for each user.
teastore,28,arch,True,False,FN_only,Recommender,,It is trained using all existing orders.
teastore,29,impl,False,False,TN,,,"Recommendations are generated based on the users current shopping cart, the user's previous orders and/or the item the user is currently looking at."
teastore,30,impl,False,False,TN,,,The item rating of the users are based on their purchases.
teastore,31,impl,False,False,TN,,,"If the current user is unknown (e.g., if the user is not logged in or did not purchase anything yet), a fallback algorithm based on the general item popularity is chosen."
teastore,32,impl,False,False,TN,,,"If the user is known, Slope One as item-based collaborative filtering is applied to calculate the recommendations."
teastore,33,impl,False,False,TN,,,We implemented two versions of the algorithm.
teastore,34,impl,False,False,TN,,,"One CPU-intensive, calculating the item-rankings per user on-the-go and one memory-intensive, calculating the total user rating prediction matrix during the training phase."
teastore,35,impl,False,False,TN,,,"Furthermore, one order-based nearest-neighbor approach is available."
teastore,36,impl,False,False,TN,,,Its recommendation time is dependent on the number of items in the current cart as well as the total number of stored orders.
teastore,37,arch,True,True,has_TP,Registry,Registry,The Registry provides information about how many service instances are online for each service and where they are located.
teastore,38,arch,True,True,has_TP,Registry,Registry,Service instances register themselves at the registry on startup.
teastore,39,impl,False,False,TN,,,Services are also required to send a heartbeat signal by re-registering periodically.
teastore,40,impl,False,False,TN,,,Services missing their heartbeat for more than 10 s are assumed to be offline until the register function is called again.
teastore,41,impl,True,True,has_TP,Registry,Registry,Every running instance of the TeaStore uses one single registry.
teastore,42,other,False,False,TN,,,The TeaStore is a test application.
teastore,43,impl,True,True,has_TP,Registry,Registry,"By limiting it to a single registry instance, it enables easy configuration of multiple parallel TeaStores with minimal configuration overhead."
teammates,1,arch,True,True,has_TP,UI;Common;Logic;E2E;Client;Storage;Test Driver,UI;Logic;Storage;Client;E2E;Common;Test Driver,"Architecture contains UI Component, Logic Component, Storage Component, Common Component, Test Driver Component, E2E Component, Client Component."
teammates,2,arch,False,False,TN,,,TEAMMATES is a Web application that runs on Google App Engine (GAE).
teammates,3,meta,False,False,TN,,,Given above is an overview of the main components.
teammates,4,arch,True,True,has_TP,UI,UI;Client,"The UI Browser seen by users consists of Web pages containing HTML, CSS for styling and JavaScript for client-side interactions such as sorting, input validation, etc.."
teammates,5,arch,True,True,has_TP,UI,UI,This UI is a single HTML page generated by Angular framework.
teammates,6,impl,False,False,TN,,,"The initial page request is sent to the server over HTTP, and requests for data are sent asynchronously with AJAX."
teammates,7,arch,True,True,has_TP,UI;Logic,UI;Logic,In the UI Server the entry point for the application back end logic is designed as a REST-ful controller.
teammates,8,arch,True,True,has_TP,Logic,Logic,The main logic of the application is in POJOs (Plain Old Java Objects).
teammates,9,arch,True,True,has_TP,Storage;GAE Datastore,GAE Datastore;Storage,"The storage layer of the application uses the persistence framework provided by GAE Datastore, a NoSQL database."
teammates,10,meta,True,True,has_TP,Test Driver,Test Driver,The following explains the use of the Test Driver.
teammates,11,other,False,False,TN,,,TEAMMATES makes heavy use of automated regression testing.
teammates,12,impl,False,False,TN,,,Test data is transmitted using JSON format.
teammates,13,impl,False,False,TN,,,TestNG is used for Java testing (all levels) and Jest for JavaScript unit-testing.
teammates,14,impl,False,False,TN,,,"HttpUnit is used to set up a simulated web server in servlet-level tests, where an actual web server is not required."
teammates,15,arch,True,True,has_TP,E2E,E2E,The E2E end-to-end component is used to interact with the application as a whole with Web browsers.
teammates,16,arch,True,True,has_TP,E2E,E2E,Its primary function is for E2E tests.
teammates,17,impl,False,True,FP_only,,E2E,Selenium Java is used to automate E2E testing with actual Web browsers.
teammates,18,arch,True,True,has_TP,Client,Client,The Client component can connect to the back end directly without using a Web browser.
teammates,19,arch,True,False,FN_only,Client,,"It is used for administrative purposes, e.g. migrating data to a new schema."
teammates,20,arch,True,True,has_TP,Common,Common,"The Common component contains utility code (data transfer objects, helper classes, etc.) used across the application."
teammates,21,meta,False,False,TN,,,The diagram below shows how the code in each component is organized into packages and the dependencies between them.
teammates,22,arch,False,True,FP_only,,Logic;UI,"logic, ui.website, ui.controller represent an application of Model-View-Controller pattern."
teammates,23,pkg_code,False,True,FP_only,,UI,ui.website is not a real package.
teammates,24,pkg_code,False,False,TN,,,It is a conceptual package representing the front-end of the application.
teammates,25,meta,True,True,has_TP,UI,UI,The diagram below shows the object structure of the UI component.
teammates,26,pkg_code,False,True,FP_only,,UI,ui.website is not a Java package.
teammates,27,impl,False,False,TN,,,"It is written in Angular framework and consists of HTML, SCSS, and TypeScript files."
teammates,28,impl,False,False,TN,,,"The framework will build those files into HTML, CSS and JavaScript files ready to be used by standard Web browsers."
teammates,29,arch,True,True,has_TP,UI,UI,The UI component is the first stop for 99% of all requests that are received by the application.
teammates,30,meta,False,False,TN,,,Such a request will go through the following steps.
teammates,31,impl,False,False,TN,,,"First, request received by the GAE server."
teammates,32,impl,False,False,TN,,,"Second, custom filters are applied according to the order specified in web.xml, e.g. OriginCheckFilter."
teammates,33,impl,False,False,TN,,,"Third, request forwarded to a Servlet object as specified in web.xml for further processing, depending on the type of request."
teammates,34,other,False,False,TN,,,There are two general types of requests.
teammates,35,other,False,False,TN,,,"The user-invoked requests and the automated (GAE server-invoked) requests, which are processed differently."
teammates,36,other,False,False,TN,,,"User-invoked requests are all requests made by the users of the application, typically from the Web browser (i.e. by navigating to a particular URL of the application)."
teammates,37,meta,False,False,TN,,,The request will be processed as in the image.
teammates,38,meta,False,False,TN,,,The initial request for the web page will be processed as follows.
teammates,39,impl,False,False,TN,,,"First, request forwarded to WebPageServlet."
teammates,40,impl,False,False,TN,,,"Second, WebPageServlet returns the built single web page (index.html)."
teammates,41,impl,False,False,TN,,,"Third, the browser will render the page and execute the page scripts, most of the time requiring AJAX requests to the server."
teammates,42,meta,False,False,TN,,,Subsequent AJAX requests sent to the server will be processed as follows.
teammates,43,impl,False,False,TN,,,"First, request forwarded to the WebApiServlet."
teammates,44,impl,False,False,TN,,,"Second, WebApiServlet uses the ActionFactory to generate the matching Action object, e.g. InstructorHomePageAction."
teammates,45,impl,False,False,TN,,,"Third, WebApiServlet executes the action."
teammates,46,impl,False,False,TN,,,"Fourth, the Action object checks the access rights of the user."
teammates,47,arch,True,True,has_TP,Logic,Logic,"If the action is allowed, it will be performed, interacting with the Logic component as necessary."
teammates,48,impl,False,False,TN,,,"Fifth, the Action packages and processes the result into an ActionResult object."
teammates,49,impl,False,False,TN,,,"The most common format is JsonResult (requests for obtaining data or processing existing data), and other formats are defined as necessary, e.g. FileDownloadResult (e.g. downloading feedback session report) and ImageResult (e.g. profile pictures)."
teammates,50,impl,False,False,TN,,,"Sixth, WebApiServlet sends the result back to the browser which will then process it on the front-end."
teammates,51,impl,False,False,TN,,,"Requests for static asset files (e.g. CSS, JS files, images) are served directly without going through web.xml configuration at all."
teammates,52,impl,False,False,TN,,,The Web API is protected by two layers of access control check.
teammates,53,impl,False,False,TN,,,"These are origin check, authentication and authorization check."
teammates,54,impl,False,False,TN,,,Origin check mitigates CSRF attack.
teammates,55,impl,False,False,TN,,,Authentication and authorization check checks if the logged in user (or lack thereof) has sufficient privileges to trigger the API's actions.
teammates,56,impl,False,False,TN,,,"Special keys (csrf key and backdoor key) can be used to bypass each of the checks, typically for testing purpose."
teammates,57,impl,False,False,TN,,,"Those keys are strings known only to the person who deployed the application (typically, the administrator)."
teammates,58,impl,False,False,TN,,,Automated requests are all requests sent automatically by the GAE server during specific periods of time.
teammates,59,meta,False,False,TN,,,This type of request will be processed as follows.
teammates,60,impl,False,False,TN,,,"First, the source of the request will be checked for administrator privilege."
teammates,61,impl,False,False,TN,,,"If this privilege is absent (e.g. non-administrator users trying to invoke the automated actions), the request will be dropped and a 403 Forbidden status will be returned."
teammates,62,impl,False,False,TN,,,"Second, requests generated by the GAE server are equipped with this privilege."
teammates,63,impl,False,False,TN,,,"Third, administrators can manually invoke these requests."
teammates,64,impl,False,False,TN,,,This is particularly useful in testing the actions associated with those requests.
teammates,65,impl,False,False,TN,,,"Fourth, request forwarded to the AutomatedServlet."
teammates,66,impl,False,False,TN,,,"Fifth, automatedServlet uses the AutomatedActionFactory to generate the matching AutomatedAction object, e.g. CompileLogsAction."
teammates,67,impl,False,False,TN,,,"Sixth, automatedServlet executes the action."
teammates,68,arch,True,True,has_TP,Logic,Logic,"Seventh, the corresponding AutomatedAction will be performed, interacting with the Logic component as necessary."
teammates,69,impl,False,False,TN,,,GAE server sends such automated requests through two different configurations.
teammates,70,impl,False,False,TN,,,These configurations are cron jobs or task queue workers.
teammates,71,impl,False,False,TN,,,"Cron jobs are jobs that are automatically scheduled for a specified period of time, e.g. scheduling feedback session opening reminders."
teammates,72,impl,False,False,TN,,,It is configured in cron.xml.
teammates,73,impl,False,False,TN,,,"Task queue workers are hybrids of user-invoked and GAE-invoked in that they are queued by users (i.e. users request for the tasks to be added to queue), but executed by GAE (i.e. GAE determines when and which tasks in the queue are executed at any point of time)."
teammates,74,impl,False,False,TN,,,This is typically used for tasks that may take a long time to finish and can exceed the 1 minute standard request processing limit imposed by GAE.
teammates,75,impl,False,False,TN,,,It is configured in queue.xml as well as the TaskQueue nested class of the Const class.
teammates,76,impl,False,False,TN,,,"Since the high-level workflow of processing a request is same for any request (differing by the two request types only), we use the Template Method pattern to abstract the process flow into the Action and AutomatedAction classes."
teammates,77,arch,True,True,has_TP,Logic,Logic,The Logic component handles the business logic of TEAMMATES.
teammates,78,meta,True,False,FN_only,Logic,,"In particular, it is responsible for the following."
teammates,79,arch,False,True,FP_only,,Logic,"Managing relationships between entities, e.g. cascade logic for create/update/delete."
teammates,80,arch,False,False,TN,,,"Managing transactions, e.g. ensuring atomicity of a transaction."
teammates,81,arch,True,True,has_TP,UI,UI,Sanitizing input values received from the UI component.
teammates,82,arch,False,False,TN,,,Providing a mechanism for checking access control rights.
teammates,83,arch,False,False,TN,,,"Connecting to GAE-provided or third-party APIs, e.g. for adding tasks to the task queue and for sending emails with third-party providers."
teammates,84,pkg_code,False,True,FP_only,,Logic,"Package overview contains logic.api, logic.core."
teammates,85,pkg_code,True,True,has_TP,UI,UI;Logic,logic.api provides the API of the component to be accessed by the UI.
teammates,86,pkg_code,False,True,FP_only,,Logic,logic.core contains the core logic of the system.
teammates,87,arch,True,True,has_TP,Logic,Logic,"Logic API is represented by the classes Logic, GateKeeper, EmailGenerator, EmailSender, TaskQueuer."
teammates,88,arch,True,True,has_TP,Logic;Storage,Storage;Logic,Logic is a Facade class which connects to the several Logic classes to handle the logic related to various types of data and to access data from the Storage component.
teammates,89,arch,False,False,TN,,,GateKeeper checks access rights of a user for a given action.
teammates,90,arch,False,False,TN,,,EmailGenerator generates emails to be sent.
teammates,91,arch,False,False,TN,,,EmailSender sends email with the provider chosen based on the build configuration.
teammates,92,impl,False,False,TN,,,It connects to the email provider by using the appropriate Service class.
teammates,93,arch,False,False,TN,,,TaskQueuer adds tasks to the task queue.
teammates,94,impl,False,False,TN,,,It connects to GAE's task queue API.
teammates,95,meta,False,False,TN,,,To access control the following information are presented.
teammates,96,impl,False,False,TN,,,"Although this component provides methods to perform access control, the API itself is not access controlled."
teammates,97,arch,True,True,has_TP,Logic;UI,Logic;UI,The UI is expected to check access control (using GateKeeper class) before calling a method in the Logic.
teammates,98,meta,False,False,TN,,,To API for creating entities the following information are presented.
teammates,99,impl,False,False,TN,,,Null parameters causes an assertion failure.
teammates,100,impl,False,False,TN,,,Invalid parameters throws InvalidParametersException.
teammates,101,arch,True,True,has_TP,Storage,Storage,Entity already exists throws EntityAlreadyExistsException (escalated from Storage level).
teammates,102,meta,False,False,TN,,,To API for retrieving entities the following information are presented.
teammates,103,impl,False,False,TN,,,Attempting to retrieve objects using null parameters causes an assertion failure.
teammates,104,impl,False,False,TN,,,Entity not found returns null if the target entity not found.
teammates,105,impl,False,False,TN,,,"This way, read operations can be used easily for checking the existence of an entity."
teammates,106,meta,False,False,TN,,,To API for updating entities the following information are presented.
teammates,107,impl,False,False,TN,,,Update is done using UpdateOptions inside every Attributes.
teammates,108,impl,False,False,TN,,,The UpdateOptions will specify what is used to identify the entity to update and what will be updated.
teammates,109,impl,False,False,TN,,,Entity not found throws EntityDoesNotExistException.
teammates,110,impl,False,False,TN,,,Invalid parameters throws InvalidParametersException.
teammates,111,meta,False,False,TN,,,To API for deleting entities the following information are presented.
teammates,112,meta,False,False,TN,,,The following explains the FailDeleteSilentlyPolicy.
teammates,113,impl,False,False,TN,,,"In general, delete operation do not throw exceptions if the target entity does not exist."
teammates,114,impl,False,False,TN,,,"This is because if it does not exist, it is as good as deleted."
teammates,115,meta,False,False,TN,,,The following explains the Cascade policy.
teammates,116,impl,False,False,TN,,,"When a parent entity is deleted, entities that have referential integrity with the deleted entity should also be deleted."
teammates,117,impl,False,True,FP_only,,Logic,Refer to the API for the cascade logic.
teammates,118,arch,True,True,has_TP,Storage,Storage,"The Storage component performs CRUD (Create, Read, Update, Delete) operations on data entities individually."
teammates,119,arch,True,True,has_TP,Storage,Logic,It contains minimal logic beyond what is directly relevant to CRUD operations.
teammates,120,meta,True,False,FN_only,Storage,,"In particular, it is reponsible for the following."
teammates,121,arch,False,False,TN,,,"Validating data inside entities before creating/updating them, to ensure they are in a valid state."
teammates,122,arch,True,True,has_TP,GAE Datastore;Logic,Logic,Hiding the complexities of datastore from the Logic component.
teammates,123,arch,True,True,has_TP,Storage,Storage,All GQL queries are to be contained inside the Storage component.
teammates,124,arch,False,False,TN,,,Hiding the persistable objects.
teammates,125,pkg_code,False,True,FP_only,,Storage,Classes in the storage.entity package are not visible outside this component to hide information specific to data persistence.
teammates,126,impl,False,False,TN,,,"Instead, a corresponding non-persistent data transfer object named Attributes (e.g., CourseAttributes is the data transfer object for Course entities) object is returned."
teammates,127,impl,False,True,FP_only,,Common,"These datatransfer classes are in common.datatransfer package, to be explained later."
teammates,128,arch,True,True,has_TP,Storage,Storage,The Storage component does not perform any cascade delete/create operations.
teammates,129,arch,True,True,has_TP,Logic,Logic,Cascade logic is handled by the Logic component.
teammates,130,pkg_code,False,True,FP_only,,Storage,"Package overview contains storage.api, storage.entity, storage.search."
teammates,131,pkg_code,True,True,has_TP,Logic,Storage;Logic,storage.api provides the API of the component to be accessed by the logic component.
teammates,132,pkg_code,False,True,FP_only,,Storage,storage.entity contains classes that represent persistable entities.
teammates,133,pkg_code,False,True,FP_only,,Storage,storage.search contains classes for dealing with searching and indexing.
teammates,134,impl,False,False,TN,,,Note that the navigability of the association links between entity objects appear to be in the reverse direction of what we see in a normal OOP design.
teammates,135,impl,False,False,TN,,,This is because we want to keep the data schema flexible so that new entity types can be added later with minimal modifications to existing elements.
teammates,136,impl,False,False,TN,,,Represented by the Db classes.
teammates,137,arch,True,True,has_TP,GAE Datastore,GAE Datastore,These classes act as the bridge to the GAE Datastore.
teammates,138,arch,True,False,FN_only,GAE Datastore,,Add and Delete operations try to wait until data is persisted in the datastore before returning.
teammates,139,impl,False,False,TN,,,This is not enough to compensate for eventual consistency involving multiple servers in the GAE production environment.
teammates,140,impl,False,False,TN,,,"However, it is expected to avoid test failures caused by eventual consistency in dev server and reduce such problems in the live server."
teammates,141,arch,True,False,FN_only,GAE Datastore,,Eventual consistency here means it takes some time for a database operation to propagate across all serves of the Google's distributed datastore.
teammates,142,impl,False,False,TN,,,"As a result, the data may be in an inconsistent states for short periods of time although things should become consistent eventually."
teammates,143,impl,False,False,TN,,,"For example, an object we deleted may appear to still exist for a short while."
teammates,144,impl,False,False,TN,,,Implementation of Transaction Control has been minimized due to limitations of GAE environment and the nature of our data schema.
teammates,145,meta,False,False,TN,,,To API for creating the following information are presented.
teammates,146,impl,False,False,TN,,,Attempt to create an entity that already exists throws EntityAlreadyExistsException.
teammates,147,impl,False,False,TN,,,Attempt to create an entity with invalid data throws InvalidParametersException.
teammates,148,meta,False,False,TN,,,To API for retrieving the following information are presented.
teammates,149,impl,False,False,TN,,,Attempt to retrieve an entity that does not exist returns null.
teammates,150,meta,False,False,TN,,,To API for updating the following information are presented.
teammates,151,impl,False,False,TN,,,Attempt to update an entity that does not exist throws EntityDoesNotExistException.
teammates,152,impl,False,False,TN,,,Attempt to update an entity with invalid data throws InvalidParametersException.
teammates,153,meta,False,False,TN,,,To API for deleting the following information are presented.
teammates,154,impl,False,False,TN,,,Attempt to delete an entity that does not exist fails silently.
teammates,155,arch,True,True,has_TP,Common,Common,The Common component contains common utilities used across TEAMMATES.
teammates,156,pkg_code,False,True,FP_only,,Common,"Package overview contains common.util, common.exceptions, common.datatransfer."
teammates,157,pkg_code,False,True,FP_only,,Common,common.util contains utility classes.
teammates,158,pkg_code,False,True,FP_only,,Common,common.exceptions contains custom exceptions.
teammates,159,pkg_code,False,True,FP_only,,Common,common.datatransfer contains data transfer objects.
teammates,160,pkg_code,False,True,FP_only,,Common,common.datatransfer package contains lightweight data transfer object classes for transferring data among components.
teammates,161,impl,False,False,TN,,,They can be combined in various ways to transfer structured data between components.
teammates,162,meta,False,False,TN,,,Given below are three examples.
teammates,163,arch,True,True,has_TP,Test Driver,Test Driver,Test Driver can use the DataBundle in this manner to send an arbitrary number of objects to be persisted in the database.
teammates,164,other,False,False,TN,,,"This structure can be used to transfer data of a course (e.g., when constructing the home page for an instructor)."
teammates,165,other,False,False,TN,,,"This structure can be used to send results of a feedback session (e.g., when showing a feedback session report to an instructor)."
teammates,166,impl,False,False,TN,,,Some of these classes are methodless and thus more of a data structure rather than a class.
teammates,167,impl,False,False,TN,,,These classes use public variables for data for easy access.
teammates,168,arch,True,False,FN_only,Test Driver,,This component automates the testing of TEAMMATES.
teammates,169,pkg_code,False,False,TN,,,"Package overview contains test.driver, test.cases and subpackages."
teammates,170,pkg_code,False,False,TN,,,test.driver contains infrastructure and helpers needed for running the tests.
teammates,171,pkg_code,False,False,TN,,,test.cases contains test cases.
teammates,172,pkg_code,False,False,TN,,,"Sub-packages contains x.testdriver, x.datatransfer, x.util, x.logic, x.storage, x.search, x.webapi, x.automated."
teammates,173,pkg_code,False,True,FP_only,,Test Driver,x.testdriver contains component test cases for testing the test driver infrastructure and helpers.
teammates,174,pkg_code,True,True,has_TP,Common,Common,x.datatransfer contains component test cases for testing the datatransfer objects from the Common component.
teammates,175,pkg_code,True,True,has_TP,Common,Common,x.util contains component test cases for testing the utility classes from the Common component.
teammates,176,pkg_code,True,True,has_TP,Logic,Logic,x.logic contains component test cases for testing the Logic component.
teammates,177,pkg_code,True,True,has_TP,Storage,Storage,x.storage contains component test cases for testing the Storage component.
teammates,178,pkg_code,False,False,TN,,,x.search contains component test cases for testing the search functions.
teammates,179,pkg_code,False,False,TN,,,x.webapi contains system test cases for testing the user-invoked actions.
teammates,180,pkg_code,False,False,TN,,,x.automated contains system test cases for testing the system-automated actions (manually invoked during testing).
teammates,181,other,False,False,TN,,,Some Component tests are pure unit tests (i.e. testing one component in isolation) while others are integration tests that test units as well as integration of units with each other.
teammates,182,impl,False,False,TN,,,Front-end files (particularly TypeScript) are tested separately with Jest.
teammates,183,impl,False,False,TN,,,The test cases are found in x.spec.ts files.
teammates,184,meta,False,False,TN,,,This is how TEAMMATES testing maps to standard types of testing.
teammates,185,arch,True,True,has_TP,Logic;E2E,E2E;Logic,The E2E component has no knowledge of the internal workings of the application and can only interact either with Web browser as a whole application or REST API calls for the back-end logic.
teammates,186,arch,True,True,has_TP,E2E,E2E,Its primary function is for E2E tests and L&P (Load & Performance) tests.
teammates,187,pkg_code,False,True,FP_only,,E2E,"Package overview contains e2e.util, e2e.pageobjects, e2e.cases, x.util, x.e2e, x.lnp."
teammates,188,pkg_code,False,True,FP_only,,E2E,e2e.util contains helpers needed for running E2E tests.
teammates,189,pkg_code,False,True,FP_only,,E2E,e2e.pageobjects contains abstractions of the pages as they appear on a Browser (i.e. SUTs).
teammates,190,pkg_code,False,True,FP_only,,E2E,e2e.cases contains test cases.
teammates,191,pkg_code,False,False,TN,,,x.util contains component test cases for testing the test helpers.
teammates,192,pkg_code,False,False,TN,,,x.e2e contains system test cases for testing the application as a whole.
teammates,193,pkg_code,False,False,TN,,,x.lnp contains load and performance tests (experimental).
teammates,194,arch,True,True,has_TP,Client,Client,"The Client component contains scripts that can connect directly to the application back-end for administrative purposes, such as migrating data to a new schema and calculating statistics."
teammates,195,pkg_code,False,True,FP_only,,Client,"Package overview contains client.util, client.remoteapi, client.scripts."
teammates,196,pkg_code,False,True,FP_only,,Client,client.util contains helpers needed for client scripts.
teammates,197,pkg_code,False,True,FP_only,,Client,client.remoteapi classes needed to connect to the back end directly.
teammates,198,pkg_code,False,True,FP_only,,Client,client.scripts scripts that deal with the back end data for administrative purposes.
