backend,run,variant,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
claude,run3,NoEntityValid,mediastore,1.000000,0.745763,0.854369,0.943396,0.833333,0.965147,0.920000,0.000000
claude,run3,NoCitation,mediastore,1.000000,0.745763,0.854369,0.943396,0.833333,0.965147,0.920000,0.000000
claude,run3,NoValidator,mediastore,1.000000,0.745763,0.854369,0.943396,0.833333,0.965147,0.920000,0.000000
claude,run3,Full,teastore,0.993311,0.840170,0.910345,0.905660,0.888889,0.948617,0.869565,0.090909
claude,run3,NoEntityValid,teastore,0.967427,0.840170,0.899319,0.827586,0.833333,0.919540,0.869565,0.230769
claude,run3,NoCitation,teastore,0.956318,0.867044,0.909496,0.877193,0.833333,0.910240,0.913043,0.160000
claude,run3,NoValidator,teastore,0.947450,0.867044,0.905465,0.833333,0.833333,0.910240,0.913043,0.222222
claude,run3,Full,teammates,0.951238,0.773373,0.853134,0.621951,0.333333,0.612935,0.456522,0.068034
claude,run3,NoEntityValid,teammates,0.826284,0.786588,0.805947,0.597701,0.363636,0.594658,0.467391,0.130836
claude,run3,NoCitation,teammates,0.853512,0.808818,0.830564,0.643678,0.375000,0.644298,0.500000,0.174425
claude,run3,NoValidator,teammates,0.756536,0.822033,0.787925,0.619565,0.400000,0.621467,0.510870,0.219845
claude,run3,Full,bigbluebutton,0.844125,0.690647,0.759712,0.817518,0.000000,0.000000,0.733333,0.138754
claude,run3,NoEntityValid,bigbluebutton,0.839942,0.761936,0.799040,0.830986,0.000000,0.000000,0.755556,0.166332
claude,run3,NoCitation,bigbluebutton,0.784895,0.761282,0.772908,0.827586,0.000000,0.000000,0.777778,0.185552
claude,run3,NoValidator,bigbluebutton,0.774593,0.777632,0.776110,0.824324,0.000000,0.000000,0.777778,0.213345
claude,run3,Full,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run3,NoEntityValid,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run3,NoCitation,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,run3,NoValidator,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,average,Full,bigbluebutton,0.886122,0.717244,0.790444,0.816618,0.166667,0.271810,0.725926,0.118793
claude,average,Full,jabref,0.998069,1.000000,0.999033,0.985185,0.866667,0.973333,1.000000,0.001948
claude,average,Full,mediastore,1.000000,0.564972,0.713908,0.853473,0.277778,0.321716,0.786667,0.000000
claude,average,Full,teammates,0.975856,0.773373,0.862827,0.627070,0.333333,0.618987,0.456522,0.038447
claude,average,Full,teastore,0.992252,0.840170,0.909889,0.901326,0.888889,0.948617,0.869565,0.085859
claude,average,NoCitation,bigbluebutton,0.813000,0.776107,0.793418,0.828470,0.166667,0.267738,0.777778,0.177203
claude,average,NoCitation,jabref,0.997346,1.000000,0.998671,0.977778,0.800000,0.960000,1.000000,0.002773
claude,average,NoCitation,mediastore,1.000000,0.564972,0.713908,0.853473,0.277778,0.321716,0.786667,0.000000
claude,average,NoCitation,teammates,0.847290,0.811741,0.829120,0.646283,0.416194,0.661197,0.510870,0.190133
claude,average,NoCitation,teastore,0.972127,0.867044,0.916551,0.888396,0.851852,0.930903,0.913043,0.146422
claude,average,NoEntityValid,bigbluebutton,0.826923,0.763680,0.792849,0.809647,0.166667,0.261162,0.740741,0.174250
claude,average,NoEntityValid,jabref,0.971188,1.000000,0.985021,0.963909,0.800000,0.947692,1.000000,0.032992
claude,average,NoEntityValid,mediastore,1.000000,0.768362,0.868916,0.956441,0.833333,0.973890,0.920000,0.000000
claude,average,NoEntityValid,teammates,0.823277,0.786588,0.804449,0.593288,0.360071,0.589952,0.467391,0.150936
claude,average,NoEntityValid,teastore,0.967427,0.840170,0.899319,0.827586,0.833333,0.919540,0.869565,0.230769
claude,average,NoValidator,bigbluebutton,0.761865,0.785917,0.772951,0.810593,0.166667,0.257400,0.777778,0.225722
claude,average,NoValidator,jabref,0.971188,1.000000,0.985021,0.963909,0.800000,0.947692,1.000000,0.032992
claude,average,NoValidator,mediastore,1.000000,0.768362,0.868916,0.956441,0.833333,0.973890,0.920000,0.000000
claude,average,NoValidator,teammates,0.740268,0.820551,0.778301,0.611881,0.428483,0.620817,0.518116,0.261720
claude,average,NoValidator,teastore,0.961419,0.867044,0.911772,0.842750,0.833333,0.925981,0.913043,0.222222
