project,cum_pop_pct,cum_mass_pct
teammates,0.5217,0.0767
teammates,0.5326,0.0840
teammates,0.5435,0.0913
teammates,0.5543,0.0986
teammates,0.5652,0.1058
teammates,0.5761,0.1131
teammates,0.5870,0.1205
teammates,0.5978,0.1293
teammates,0.6087,0.1381
teammates,0.6196,0.1468
teammates,0.6304,0.1556
teammates,0.6413,0.1644
teammates,0.6522,0.1732
teammates,0.6630,0.1819
teammates,0.6739,0.1907
teammates,0.6848,0.1996
teammates,0.6957,0.2119
teammates,0.7065,0.2250
teammates,0.7174,0.2382
teammates,0.7283,0.2515
teammates,0.7391,0.2647
teammates,0.7500,0.2799
teammates,0.7609,0.2950
teammates,0.7717,0.3102
teammates,0.7826,0.3254
teammates,0.7935,0.3409
teammates,0.8043,0.3569
teammates,0.8152,0.3746
teammates,0.8261,0.3931
teammates,0.8370,0.4116
teammates,0.8478,0.4302
teammates,0.8587,0.4487
teammates,0.8696,0.4672
teammates,0.8804,0.4878
teammates,0.8913,0.5118
teammates,0.9022,0.5362
teammates,0.9130,0.5792
teammates,0.9239,0.6222
teammates,0.9348,0.6652
teammates,0.9457,0.7082
teammates,0.9565,0.7511
teammates,0.9674,0.7967
teammates,0.9783,0.8485
teammates,0.9891,0.9002
teammates,1.0000,1.0000
bigbluebutton,0.0000,0.0000
bigbluebutton,0.0222,0.0020
bigbluebutton,0.0444,0.0039
bigbluebutton,0.0667,0.0078
bigbluebutton,0.0889,0.0118
bigbluebutton,0.1111,0.0157
bigbluebutton,0.1333,0.0203
bigbluebutton,0.1556,0.0301
bigbluebutton,0.1778,0.0399
bigbluebutton,0.2000,0.0497
bigbluebutton,0.2222,0.0595
bigbluebutton,0.2444,0.0693
bigbluebutton,0.2667,0.0798
bigbluebutton,0.2889,0.0903
bigbluebutton,0.3111,0.1007
bigbluebutton,0.3333,0.1112
bigbluebutton,0.3556,0.1216
bigbluebutton,0.3778,0.1321
bigbluebutton,0.4000,0.1426
bigbluebutton,0.4222,0.1530
bigbluebutton,0.4444,0.1635
bigbluebutton,0.4667,0.1740
bigbluebutton,0.4889,0.1844
bigbluebutton,0.5111,0.1949
bigbluebutton,0.5333,0.2054
bigbluebutton,0.5556,0.2158
bigbluebutton,0.5778,0.2263
bigbluebutton,0.6000,0.2368
bigbluebutton,0.6222,0.2511
bigbluebutton,0.6444,0.2662
bigbluebutton,0.6667,0.2812
bigbluebutton,0.6889,0.3028
bigbluebutton,0.7111,0.3244
bigbluebutton,0.7333,0.3460
bigbluebutton,0.7556,0.3676
bigbluebutton,0.7778,0.3891
bigbluebutton,0.8000,0.4349
bigbluebutton,0.8222,0.4807
bigbluebutton,0.8444,0.5409
bigbluebutton,0.8667,0.6024
bigbluebutton,0.8889,0.6638
bigbluebutton,0.9111,0.7253
bigbluebutton,0.9333,0.7868
bigbluebutton,0.9556,0.8535
bigbluebutton,0.9778,0.9254
bigbluebutton,1.0000,1.0000
jabref,0.0000,0.0000
jabref,0.1000,0.0010
jabref,0.2000,0.0031
jabref,0.3000,0.0063
jabref,0.4000,0.0365
jabref,0.5000,0.0668
jabref,0.6000,0.1523
jabref,0.7000,0.3001
jabref,0.8000,0.5334
jabref,0.9000,0.7667
jabref,1.0000,1.0000
