backend,run,linker_set,project,doc_to_code_file_precision,doc_to_code_file_recall,doc_to_code_file_f1,doc_to_code_component_micro_f1,doc_to_code_worst_component_f1,doc_to_code_harmonic_component_f1,doc_to_code_sentence_coverage,doc_to_code_noise_rate
openai,run2,CorefOnly,teastore,1.000000,0.222065,0.363426,0.312500,0.000000,0.000000,0.217391,0.000000
openai,run2,Full,teammates,0.883964,0.721625,0.794588,0.566038,0.333333,0.580378,0.413043,0.073171
openai,run2,EntityOnly,teammates,1.000000,0.678152,0.808213,0.529801,0.333333,0.542769,0.358696,0.000000
openai,run2,CorefOnly,teammates,0.609072,0.147586,0.237598,0.161290,0.000000,0.000000,0.108696,0.230769
openai,run2,Full,bigbluebutton,0.902507,0.847613,0.874199,0.911565,0.666667,0.918033,0.911111,0.141090
openai,run2,EntityOnly,bigbluebutton,0.913609,0.781557,0.842439,0.832117,0.666667,0.866963,0.777778,0.131123
openai,run2,CorefOnly,bigbluebutton,0.782353,0.086985,0.156563,0.301075,0.000000,0.000000,0.177778,0.210193
openai,run2,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run2,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run2,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,run3,Full,mediastore,1.000000,0.830508,0.907407,0.981818,0.923077,0.990826,0.960000,0.000000
openai,run3,EntityOnly,mediastore,1.000000,0.728814,0.843137,0.923077,0.833333,0.948200,0.840000,0.000000
openai,run3,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.193548,0.000000,0.000000,0.120000,0.000000
openai,run3,Full,teastore,1.000000,0.930693,0.964103,0.961538,0.909091,0.967742,0.956522,0.000000
openai,run3,EntityOnly,teastore,1.000000,0.708628,0.829470,0.851064,0.666667,0.842105,0.739130,0.000000
openai,run3,CorefOnly,teastore,1.000000,0.222065,0.363426,0.312500,0.000000,0.000000,0.217391,0.000000
openai,run3,Full,teammates,0.886286,0.738298,0.805552,0.575000,0.333333,0.588135,0.423913,0.071429
openai,run3,EntityOnly,teammates,0.987262,0.679634,0.805062,0.526316,0.333333,0.537084,0.358696,0.029412
openai,run3,CorefOnly,teammates,0.644249,0.171545,0.270945,0.190476,0.000000,0.000000,0.130435,0.200000
openai,run3,Full,bigbluebutton,0.911831,0.791367,0.847339,0.895105,0.666667,0.871369,0.866667,0.119144
openai,run3,EntityOnly,bigbluebutton,0.922131,0.735775,0.818479,0.829630,0.666667,0.830943,0.755556,0.108216
openai,run3,CorefOnly,bigbluebutton,0.789062,0.066056,0.121907,0.224719,0.000000,0.000000,0.133333,0.200893
openai,run3,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run3,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,run3,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
claude,average,CorefOnly,bigbluebutton,0.852123,0.191411,0.309382,0.417793,0.000000,0.000000,0.259259,0.171936
claude,average,CorefOnly,jabref,0.999525,0.763546,0.865743,0.842105,0.666667,0.789474,0.800000,0.000306
claude,average,CorefOnly,mediastore,0.919048,0.192090,0.309956,0.331342,0.000000,0.000000,0.240000,0.150000
claude,average,CorefOnly,teammates,0.971329,0.386151,0.548633,0.403743,0.135404,0.273993,0.289855,0.040477
claude,average,CorefOnly,teastore,0.997542,0.899104,0.945238,0.883661,0.607143,0.853051,0.855072,0.015873
claude,average,EntityOnly,bigbluebutton,0.912978,0.678657,0.776451,0.796811,0.000000,0.000000,0.718518,0.131110
claude,average,EntityOnly,jabref,0.998069,1.000000,0.999033,0.985185,0.866667,0.973333,1.000000,0.001948
claude,average,EntityOnly,mediastore,1.000000,0.706215,0.827712,0.909000,0.777778,0.934623,0.840000,0.000000
claude,average,EntityOnly,teammates,0.975010,0.706229,0.819120,0.562228,0.333333,0.568375,0.380435,0.044241
claude,average,EntityOnly,teastore,0.996055,0.697313,0.820247,0.817391,0.666667,0.827750,0.681159,0.052632
claude,average,Full,bigbluebutton,0.898051,0.751690,0.815635,0.890684,0.000000,0.000000,0.837037,0.145794
claude,average,Full,jabref,0.998069,1.000000,0.999033,0.985185,0.866667,0.973333,1.000000,0.001948
claude,average,Full,mediastore,0.986389,0.807909,0.888127,0.957568,0.740741,0.947848,0.960000,0.026667
claude,average,Full,teammates,0.972366,0.749331,0.846341,0.609918,0.333333,0.608515,0.431160,0.041876
claude,average,Full,teastore,0.994854,0.991042,0.992877,0.970106,0.939394,0.989071,0.985507,0.052351
openai,average,CorefOnly,bigbluebutton,0.698346,0.080009,0.142552,0.274555,0.000000,0.000000,0.162963,0.246927
openai,average,CorefOnly,jabref,1.000000,0.117562,0.210390,0.086957,0.000000,0.000000,0.100000,0.000000
openai,average,CorefOnly,mediastore,1.000000,0.101695,0.184615,0.193548,0.000000,0.000000,0.120000,0.000000
openai,average,CorefOnly,teammates,0.751107,0.177885,0.287269,0.187148,0.000000,0.000000,0.126812,0.143590
openai,average,CorefOnly,teastore,1.000000,0.222065,0.363426,0.312500,0.000000,0.000000,0.217391,0.000000
openai,average,EntityOnly,bigbluebutton,0.920301,0.751036,0.826863,0.830459,0.666667,0.842950,0.762963,0.114918
openai,average,EntityOnly,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,average,EntityOnly,mediastore,1.000000,0.717514,0.835425,0.916038,0.805555,0.941412,0.826667,0.000000
openai,average,EntityOnly,teammates,0.995754,0.681569,0.809228,0.531864,0.333333,0.542685,0.362319,0.009804
openai,average,EntityOnly,teastore,1.000000,0.708628,0.829470,0.851064,0.666667,0.842105,0.739130,0.000000
openai,average,Full,bigbluebutton,0.892054,0.810116,0.848877,0.898520,0.611111,0.874797,0.881482,0.135072
openai,average,Full,jabref,0.999516,1.000000,0.999758,1.000000,1.000000,1.000000,1.000000,0.000297
openai,average,Full,mediastore,1.000000,0.819209,0.900535,0.975533,0.911681,0.986343,0.946667,0.000000
openai,average,Full,teammates,0.923417,0.735169,0.818131,0.578658,0.333333,0.590300,0.423913,0.048200
openai,average,Full,teastore,1.000000,0.930693,0.964103,0.961538,0.909091,0.967742,0.956522,0.000000
